tipo,schema_ok,bl_presentes,problemas,YEAR,LOCATION,ORIGINAL_DATASET,archivo
GTD,True,"BL1,BL2,BL3",,2022,CIAT,Field_11_Block3_CIAT_2022,GTD_Field_11_Block3_CIAT_2022.xlsx
VIS,True,,,2022,CIAT,Field_11_Block3_CIAT_2022,VIS_Field_11_Block_3_CIAT_2022.csv
GTD,True,"BL1,BL2,BL3",,2023,CIAT,Block_1_CIAT_2023_corregido,GTD_Block_1_CIAT_2023_corregido.xlsx
VIS,True,,,2023,CIAT,Block_1_CIAT_2023_corregido,VIS_Block_1_CIAT_2023_corregido.csv
GTD,True,"BL1,BL2,BL3",,2023,CIAT,Block_2_CIAT_2023,GTD_Block_2_CIAT_2023.xlsx
VIS,True,,,2023,CIAT,Block_2_CIAT_2023,VIS_Block_2_CIAT_2023.xlsx
GTD,True,"BL1,BL2,BL3",,2023,CIAT,Block_3_CIAT_2023,GTD_Block_3_CIAT_2023.xlsx
VIS,True,,,2023,CIAT,Block_3_CIAT_2023,VIS_Block_3_CIAT_2023.xlsx
GTD,True,"BL1,BL2,BL3",,2023,CIAT,Block_4_CIAT_2023_corregido,GTD_Block_4_CIAT_2023_corregido.xlsx
VIS,True,,,2023,CIAT,Block_4_CIAT_2023_corregido,VIS_Block_4_CIAT_2023.xlsx
GTD,True,"BL1,BL2,BL3",,2023,FLAR,Field_7_FLAR_2023,GTD_Field_7_FLAR_2023.xlsx
VIS,True,,,2023,FLAR,Field_7_FLAR_2023,VIS_Field_7_FLAR_2023.xlsx
GTD,True,"BL1,BL2,BL3",,2024,FLAR,BLAST_FIeld 8 (FLAR)_Block 1_2024,GTD_BLAST_FIeld 8 (FLAR)_Block 1_2024.xlsx
VIS,True,,,2024,FLAR,BLAST_FIeld 8 (FLAR)_Block 1_2024,VIs_Field_8_Block 1_FLAR_2024.xlsx
GTD,True,"BL1,BL2,BL3",,2024,FLAR,BLAST_FIeld 8 (FLAR)_Block 2_2024,GTD_BLAST_FIeld 8 (FLAR)_Block 2_2024.xlsx
VIS,True,,,2024,FLAR,BLAST_FIeld 8 (FLAR)_Block 2_2024,VIs_Field_8_Block 2_FLAR_2024.xlsx
GTD,True,"BL1,BL2,BL3",,2024,FLAR,BLAST_FIeld 8 (FLAR)_Block 3_2024,GTD_BLAST_FIeld 8 (FLAR)_Block 3_2024.xlsx
VIS,True,,,2024,FLAR,BLAST_FIeld 8 (FLAR)_Block 3_2024,VIs_Field_8_Block 3_FLAR_2024.xlsx
GTD,True,"BL1,BL2,BL3",,2024,UNKNOWN,Field 11_ Alphalatice 3,GTD_Field 11_ Alphalatice 3.xlsx
VIS,True,,,2024,UNKNOWN,Field 11_ Alphalatice 3,VIs_Field 11_ Alphalatice 3.csv
GTD,True,"BL1,BL2,BL3",,2024,UNKNOWN,Field 11_BCA 2 Bioz,GTD_Field 11_BCA 2 Bioz.xlsx
VIS,True,,,2024,UNKNOWN,Field 11_BCA 2 Bioz,VIs_Field 11_BCA 2 Bioz.csv
GTD,True,"BL1,BL2,BL3",,2024,UNKNOWN,Field 11_F1C1_2024,GTD_Field 11_F1C1_2024.xlsx
VIS,True,,,2024,UNKNOWN,Field 11_F1C1_2024,VIs_Field 11_F1C1_2024.csv
GTD,True,"BL1,BL2,BL3",,2024,UNKNOWN,Field 11_Patology,GTD_Field 11_Patology.xlsx
VIS,True,,,2024,UNKNOWN,Field 11_Patology,VIs_Field 11_Patology.csv
