YEAR,LOCATION,ORIGINAL_DATASET,gtd_file,vis_file,success_pair,error_msg,transform_time_sec,csv_write_sec,sqlite_insert_sec,source_mtime,load_timestamp,freshness_hours
2022,CIAT,Field_11_Block3_CIAT_2022,GTD_Field_11_Block3_CIAT_2022.xlsx,VIS_Field_11_Block_3_CIAT_2022.csv,1,,0.0689,0.7645,0.1907,2025-11-18T22:40:48,2026-03-31T15:09:39,3184.4808
2023,CIAT,Block_1_CIAT_2023_corregido,GTD_Block_1_CIAT_2023_corregido.xlsx,VIS_Block_1_CIAT_2023_corregido.csv,1,,0.0382,0.4066,0.12,2025-11-19T09:04:51,2026-03-31T15:09:40,3174.0803
2023,CIAT,Block_2_CIAT_2023,GTD_Block_2_CIAT_2023.xlsx,VIS_Block_2_CIAT_2023.xlsx,1,,0.0428,0.4326,0.1215,2025-11-20T14:13:34,2026-03-31T15:09:44,3144.9361
2023,CIAT,Block_3_CIAT_2023,GTD_Block_3_CIAT_2023.xlsx,VIS_Block_3_CIAT_2023.xlsx,1,,0.0702,0.8286,0.2291,2026-03-26T15:49:22,2026-03-31T15:09:51,119.3413
2023,CIAT,Block_4_CIAT_2023_corregido,GTD_Block_4_CIAT_2023_corregido.xlsx,VIS_Block_4_CIAT_2023.xlsx,1,,0.1494,1.8587,0.4813,2026-03-24T15:53:29,2026-03-31T15:10:08,167.2775
2023,FLAR,Field_7_FLAR_2023,GTD_Field_7_FLAR_2023.xlsx,VIS_Field_7_FLAR_2023.xlsx,1,,0.0855,0.7376,0.1933,2025-11-19T11:10:21,2026-03-31T15:10:15,3171.9983
2024,FLAR,BLAST_FIeld 8 (FLAR)_Block 1_2024,GTD_BLAST_FIeld 8 (FLAR)_Block 1_2024.xlsx,VIs_Field_8_Block 1_FLAR_2024.xlsx,1,,0.0523,0.6008,0.1512,2025-11-19T14:11:25,2026-03-31T15:10:20,3168.9819
2024,FLAR,BLAST_FIeld 8 (FLAR)_Block 2_2024,GTD_BLAST_FIeld 8 (FLAR)_Block 2_2024.xlsx,VIs_Field_8_Block 2_FLAR_2024.xlsx,1,,0.1861,2.8204,0.6026,2025-11-19T14:13:25,2026-03-31T15:10:44,3168.9553
2024,FLAR,BLAST_FIeld 8 (FLAR)_Block 3_2024,GTD_BLAST_FIeld 8 (FLAR)_Block 3_2024.xlsx,VIs_Field_8_Block 3_FLAR_2024.xlsx,1,,0.0258,0.2421,0.0745,2025-11-19T14:15:26,2026-03-31T15:10:46,3168.9222
2024,UNKNOWN,Field 11_ Alphalatice 3,GTD_Field 11_ Alphalatice 3.xlsx,VIs_Field 11_ Alphalatice 3.csv,1,,0.0334,0.4588,0.1183,2026-03-31T09:37:37,2026-03-31T15:10:47,5.5527
2024,UNKNOWN,Field 11_BCA 2 Bioz,GTD_Field 11_BCA 2 Bioz.xlsx,VIs_Field 11_BCA 2 Bioz.csv,1,,0.0106,0.0463,0.0243,2025-11-24T09:42:17,2026-03-31T15:10:47,3053.475
2024,UNKNOWN,Field 11_F1C1_2024,GTD_Field 11_F1C1_2024.xlsx,VIs_Field 11_F1C1_2024.csv,1,,0.1095,1.343,0.3094,2025-11-24T11:21:21,2026-03-31T15:10:49,3051.8244
2024,UNKNOWN,Field 11_Patology,GTD_Field 11_Patology.xlsx,VIs_Field 11_Patology.csv,1,,0.2331,5.0614,1.2011,2026-03-31T09:36:00,2026-03-31T15:10:55,5.5819
